"Mead.1000" "Powell.3490" "correlation" "mean" "delta.mean"
"315" 27 7 0.927541255950928 0.689079913606911 0.119524838012959
"316" 28 7 0.924864649772644 0.693235421166307 0.123680345572354
"317" 29 7 0.921983242034912 0.698038876889849 0.128483801295896
"318" 30 7 0.923129022121429 0.702095032397408 0.132539956803456
"319" 31 7 0.922791182994843 0.706345572354212 0.136790496760259
"320" 32 7 0.921096205711365 0.709818574514039 0.140263498920086
"321" 33 7 0.918339848518372 0.713913606911447 0.144358531317495
"322" 34 7 0.916479349136353 0.717356371490281 0.147801295896328
"323" 35 7 0.917408227920532 0.721200863930886 0.151645788336933
"324" 36 7 0.918009340763092 0.725801295896328 0.156246220302376
"325" 37 7 0.918475568294525 0.730021598272138 0.160466522678186
"326" 38 7 0.917057156562805 0.733356371490281 0.163801295896328
"327" 39 7 0.916855752468109 0.736043196544276 0.166488120950324
"328" 40 7 0.913775384426117 0.739300215982721 0.169745140388769
"329" 0 8 0.81039959192276 0.406090712742981 -0.163464362850972
"330" 1 8 0.856052756309509 0.443585313174946 -0.125969762419006
"331" 2 8 0.8838010430336 0.469252699784017 -0.100302375809935
"332" 3 8 0.902380168437958 0.489602591792657 -0.0799524838012959
"333" 4 8 0.924065470695496 0.512181425485961 -0.0573736501079913
"334" 5 8 0.94176584482193 0.527442764578834 -0.0421123110151188
"335" 6 8 0.950070083141327 0.543503239740821 -0.0260518358531318
"336" 7 8 0.955758631229401 0.556829373650108 -0.0127257019438445
"337" 8 8 0.974401652812958 0.570591792656587 0.00103671706263497
"338" 9 8 0.979605555534363 0.581477321814255 0.0119222462203024
"339" 10 8 0.991786003112793 0.591667386609071 0.0221123110151188
"340" 11 8 0.978875279426575 0.602842332613391 0.0332872570194385
"341" 12 8 0.971624076366425 0.612090712742981 0.0425356371490281
"342" 13 8 0.965607047080994 0.619771058315335 0.0502159827213823
"343" 14 8 0.96347576379776 0.626574514038877 0.0570194384449244
"344" 15 8 0.958814442157745 0.634043196544276 0.064488120950324
"345" 16 8 0.95054429769516 0.639602591792657 0.0700475161987041
"346" 17 8 0.94903302192688 0.64541252699784 0.0758574514038877
"347" 18 8 0.945145130157471 0.652410367170626 0.0828552915766739
"348" 19 8 0.942236006259918 0.65754211663067 0.0879870410367171
"349" 20 8 0.9400514960289 0.663291576673866 0.0937365010799136
"350" 21 8 0.939599871635437 0.668699784017279 0.0991447084233261
